post_slug,current_image,replacement_path,status,source_file,match_method
"solar-rebate-nsw-2026-update","temporary","/assets/blog/solar-rebate-nsw-2026-update/featured.png","Replaced","migration/uploads/2026/05/Solar-Rebate-NSW-2026-Update-What-Has-Changed-This-Year.png","Exact slug/title filename"
"solar-quotes-sydney-nsw","temporary","/assets/blog/solar-quotes-sydney-nsw/featured.jpg","Replaced","migration/uploads/2026/05/Solar-Quotes-Sydney-NSW-How-Homeowners-in-Sydney-Are-Cutting-Electricity-Bills-with-Smart-Solar-Deals.jpg","Exact slug/title filename"
"solar-battery-cost-in-australia-2026","temporary","/assets/blog/solar-battery-cost-in-australia-2026/featured.png","Replaced","migration/uploads/2026/05/Solar-Battery-Cost-in-Australia-2026-Complete-Guide-for-Homeowners.png","Exact slug/title filename"
"fox-ess-battery-review","temporary","/assets/blog/fox-ess-battery-review/featured.jpg","Replaced","migration/uploads/2026/05/Fox-ESS-Battery-Review-Is-This-Solar-Battery-Worth-It-in-2026.jpg","Exact slug/title filename"
"best-solar-battery-storage-2026","temporary","/assets/blog/best-solar-battery-storage-2026/featured.jpg","Replaced","migration/uploads/2026/05/Best-Solar-Battery-Storage-2026.jpg","Exact slug/title filename"
"determining-the-ideal-solar-system-size-for-your-australian-home-in-2026","/assests/blogs/solar-inverters.jpg","","Match uncertain","",""
"what-are-solar-panel-batteries-and-what-are-they-used-for","/assests/blogs/energy-monitoring.jpg","","Match uncertain","",""
"maximizing-your-savings-the-ultimate-guide-to-2026-solar-panel-rebates","/assests/blogs/solar-panel-closeup.jpg","","Match uncertain","",""
"how-to-clean-solar-panels-on-roof","/assests/blogs/energy-monitoring.jpg","","Match uncertain","",""
"how-much-will-a-6-6kw-solar-system-save-me-2","/assests/blogs/solar-panel-closeup.jpg","","Match uncertain","",""
"how-do-solar-panels-work-with-your-electric-bill","/assests/about/modern-home-solar-panels.webp","","Match uncertain","",""
"what-are-the-best-solar-panels-in-australia","/assests/blogs/solar-inverters.jpg","","Match uncertain","",""
"10kw-solar-system-with-battery-price","/assests/blogs/energy-monitoring.jpg","","Match uncertain","",""
"australian-solar-battery-rebate","/assests/blogs/solar-panel-closeup.jpg","","Match uncertain","",""
"how-much-do-commercial-solar-panels-cost","/assests/about/modern-home-solar-panels.webp","","Match uncertain","",""
"how-much-do-solar-panels-cost-adelaide","/assests/blogs/energy-monitoring.jpg","","Match uncertain","",""
"how-much-are-solar-batteries","/assests/blogs/solar-inverters.jpg","","Match uncertain","",""
"best-10kw-solar-battery-price-australia","/assests/blogs/solar-panel-closeup.jpg","","Match uncertain","",""
"solar-panel-rebate-qld","/assests/about/modern-home-solar-panels.webp","","Match uncertain","",""
"cost-of-solar-panels-for-4-bedroom-house","/assests/about/modern-home-solar-panels.webp","","Match uncertain","",""
"best-solar-panels-in-australia","/assests/blogs/solar-panel-closeup.jpg","","Match uncertain","",""
"how-much-do-solar-panels-cost-sydney","/assests/blogs/energy-monitoring.jpg","","Match uncertain","",""
"how-much-will-a-10kw-solar-system-save-me","/assests/blogs/solar-inverters.jpg","","Match uncertain","",""
"cryptoslots-canada-guide-for-secure-crypto-play","/assests/about/modern-home-solar-panels.webp","","Match uncertain","",""
"solar-panel-and-battery","/assests/blogs/solar-inverters.jpg","","Match uncertain","",""
"best-solar-panels-sydney","/assests/blogs/energy-monitoring.jpg","","Match uncertain","",""
"how-much-cost-to-install-solar-panels","/assests/blogs/solar-panel-closeup.jpg","","Match uncertain","",""
"solar-battery-cost","/assests/about/modern-home-solar-panels.webp","","Match uncertain","",""
"loan-for-solar-panels","/assests/blogs/solar-inverters.jpg","","Match uncertain","",""
"solar-panel-subsidy","/assests/blogs/energy-monitoring.jpg","","Match uncertain","",""
"cost-of-13kw-solar-system","/assests/blogs/solar-panel-closeup.jpg","","Match uncertain","",""
"solar-panel-efficiency","/assests/about/modern-home-solar-panels.webp","","Match uncertain","",""
"solar-panel-cost","/assests/blogs/solar-inverters.jpg","","Match uncertain","",""
"6-6kw-solar-system-price-nsw","/assests/blogs/energy-monitoring.jpg","","Match uncertain","",""
"10kw-vs-13kw-solar-system","/assests/blogs/solar-panel-closeup.jpg","","Match uncertain","",""
"10kw-solar-inverter","/assests/about/modern-home-solar-panels.webp","","Match uncertain","",""
"6-6kw-vs-10kw-solar-system","/assests/blogs/solar-inverters.jpg","","Match uncertain","",""
"how-do-you-connect-a-solar-panel-to-a-battery","/assests/blogs/energy-monitoring.jpg","","Match uncertain","",""
"5kw-solar-inverter-price-australia","/assests/blogs/solar-panel-closeup.jpg","","Match uncertain","",""
"solar-panel-replacement","/assests/about/modern-home-solar-panels.webp","","Match uncertain","",""
"how-to-check-solar-panel-output-2","/assests/blogs/solar-inverters.jpg","","Match uncertain","",""
"solar-panel-disadvantages","/assests/blogs/energy-monitoring.jpg","","Match uncertain","",""
"govt-rebate-solar-panels","/assests/blogs/solar-panel-closeup.jpg","","Match uncertain","",""
"cost-of-solar-panels-on-a-home","/assests/about/modern-home-solar-panels.webp","","Match uncertain","",""
"5kw-off-grid-solar-system","temporary","/assets/blog/5kw-off-grid-solar-system/featured.jpg","Replaced","migration/uploads/2025/05/3d-house-with-solar-pannels_23-2148907395-1024x704.jpg","Exact WordPress filename"
"how-much-power-does-5kw-system-produce","temporary","/assets/blog/how-much-power-does-5kw-system-produce/featured.jpg","Replaced","migration/uploads/2025/05/business-person-planning-alternative-energies_23-2149205422-1024x683.jpg","Exact WordPress filename"
"how-many-panels-in-a-5kw-system","temporary","/assets/blog/how-many-panels-in-a-5kw-system/featured.jpg","Replaced","migration/uploads/2025/05/business-person-planning-alternative-energies_23-2149205420-1024x683.jpg","Exact WordPress filename"
"how-much-power-does-a-10kw-system-produce","temporary","/assets/blog/how-much-power-does-a-10kw-system-produce/featured.jpg","Replaced","migration/uploads/2025/05/businessmen-photovoltaics-factory-doing-financial-investments_482257-120645-1024x576.jpg","Exact WordPress filename"
"what-is-a-10kw-solar-system","temporary","/assets/blog/what-is-a-10kw-solar-system/featured.jpg","Replaced","migration/uploads/2025/05/side-view-engineer-drawing-plan-outdoors_23-2149352262-1024x683.jpg","Exact WordPress filename"
"how-to-install-a-10kw-solar-system","temporary","/assets/blog/how-to-install-a-10kw-solar-system/featured.jpg","Replaced","migration/uploads/2025/05/team-work-environment-project_23-2148894004-1024x681.jpg","Exact WordPress filename"
"how-many-panels-for-10kw-system","temporary","/assets/blog/how-many-panels-for-10kw-system/featured.jpg","Replaced","migration/uploads/2025/05/factory-engineers-look-schematics-meeting-front-mockup-monitor_482257-120498-1024x576.jpg","Exact WordPress filename"
"govt-subsidies-for-10kw-system-australia","temporary","/assets/blog/govt-subsidies-for-10kw-system-australia/featured.jpg","Replaced","migration/uploads/2025/05/manager-presents-solar-panels-materials-investors-using-chroma-key-monitor_482257-119302-1024x683.jpg","Exact WordPress filename"
"best-inverter-for-10kw-solar-system","temporary","/assets/blog/best-inverter-for-10kw-solar-system/featured.jpg","Replaced","migration/uploads/2025/05/solar-power-panel_181624-10475-1024x683.jpg","Exact WordPress filename"
"enphase-vs-fronius","temporary","/assets/blog/enphase-vs-fronius/featured.jpg","Replaced","migration/uploads/2025/05/3d-solar-pannels-project-energy-saving_23-2148907418-1024x704.jpg","Exact WordPress filename"
