"content_title","old_url","image_type","old_image_url","attachment_id","local_source","new_path","match_method","confidence","duplicate_count","status","notes"
"Products","/products/","product","https://esteemenergy.com.au/wp-content/uploads/2023/10/Solar-Batteries.png","7835","C:\Users\admin\Desktop\vscode\vscode\solar\migration\uploads\2023\10\Solar-Batteries.png","/assets/site-images/product/Solar-Batteries.png","exact local upload","exact","2","replaced",""
"Products","/products/","product","https://esteemenergy.com.au/wp-content/uploads/2024/01/ht-panels-415w.webp","5425","C:\Users\admin\Desktop\vscode\vscode\solar\migration\uploads\2024\01\ht-panels-415w.webp","/assets/site-images/product/ht-panels-415w.webp","exact local upload","exact","1","replaced",""
"Products","/products/","product","https://esteemenergy.com.au/wp-content/uploads/2023/07/Trina-solar.webp","3062","C:\Users\admin\Desktop\vscode\vscode\solar\migration\uploads\2023\07\Trina-solar.webp","/assets/site-images/product/Trina-solar.webp","exact local upload","exact","1","replaced",""
"Products","/products/","product","https://esteemenergy.com.au/wp-content/uploads/2023/07/Jinko.webp","3039","C:\Users\admin\Desktop\vscode\vscode\solar\migration\uploads\2023\07\Jinko.webp","/assets/site-images/product/Jinko.webp","exact local upload","exact","1","replaced",""
"Products","/products/","product","https://esteemenergy.com.au/wp-content/uploads/2024/09/inverter-brand-4.jpg","9707","C:\Users\admin\Desktop\vscode\vscode\solar\migration\uploads\2024\09\inverter-brand-4.jpg","/assets/site-images/product/inverter-brand-4.jpg","exact local upload","exact","1","replaced",""
"Products","/products/","product","https://esteemenergy.com.au/wp-content/uploads/2024/01/fronius-inverter.webp","5091","C:\Users\admin\Desktop\vscode\vscode\solar\migration\uploads\2024\01\fronius-inverter.webp","/assets/site-images/product/fronius-inverter.webp","exact local upload","exact","1","replaced",""
"Battery Storage","/battery-storage/","hero","https://esteemenergy.com.au/wp-content/uploads/2023/10/Solar-Batteries.png","7835","C:\Users\admin\Desktop\vscode\vscode\solar\migration\uploads\2023\10\Solar-Batteries.png","/assets/site-images/product/Solar-Batteries.png","exact local upload","exact","2","replaced",""
"Installation","/installation/","hero","https://esteemenergy.com.au/wp-content/uploads/2025/01/The-Solar-Installation-Process_-What-to-Expect-from-Start-to-Finish-1.png","11291","C:\Users\admin\Desktop\vscode\vscode\solar\migration\uploads\2025\01\The-Solar-Installation-Process_-What-to-Expect-from-Start-to-Finish-1.png","/assets/site-images/installation/The-Solar-Installation-Process_-What-to-Expect-from-Start-to-Finish-1.png","exact local upload","exact","1","replaced",""
"Our Gallery","/our-gallery/","gallery","https://esteemenergy.com.au/wp-content/uploads/2023/08/Best-Solar-Installation-cabramatta-new-south-wales.jpg","3607","C:\Users\admin\Desktop\vscode\vscode\solar\migration\uploads\2023\08\Best-Solar-Installation-cabramatta-new-south-wales.jpg","/assets/site-images/gallery/Best-Solar-Installation-cabramatta-new-south-wales.jpg","exact local upload","exact","1","replaced",""
"Our Gallery","/our-gallery/","gallery","https://esteemenergy.com.au/wp-content/uploads/2023/08/Best-Solar-Installation-Ashby-Western-Australia.jpg","3595","C:\Users\admin\Desktop\vscode\vscode\solar\migration\uploads\2023\08\Best-Solar-Installation-Ashby-Western-Australia.jpg","/assets/site-images/gallery/Best-Solar-Installation-Ashby-Western-Australia.jpg","exact local upload","exact","1","replaced",""
"Our Gallery","/our-gallery/","gallery","https://esteemenergy.com.au/wp-content/uploads/2023/08/Best-Solar-Installation-Blacktown-NSW.jpg","3597","C:\Users\admin\Desktop\vscode\vscode\solar\migration\uploads\2023\08\Best-Solar-Installation-Blacktown-NSW.jpg","/assets/site-images/gallery/Best-Solar-Installation-Blacktown-NSW.jpg","exact local upload","exact","1","replaced",""
"Our Gallery","/our-gallery/","gallery","https://esteemenergy.com.au/wp-content/uploads/2023/08/Best-Solar-Installation-Blacktown-new-south-wales.jpg","3596","C:\Users\admin\Desktop\vscode\vscode\solar\migration\uploads\2023\08\Best-Solar-Installation-Blacktown-new-south-wales.jpg","/assets/site-images/gallery/Best-Solar-Installation-Blacktown-new-south-wales.jpg","exact local upload","exact","1","replaced",""
"Homepage","/","hero","","","","","temporary/relevance fallback","uncertain",,"review","Original old-site hero not yet confirmed; retained current image"
"Contact Us","/contact-us/","hero","","","","/assests/about/solar-consultation-support.webp","temporary/relevance fallback","uncertain","1","review","Original old-site hero not yet confirmed; retained current local image"
"Pricing","/pricing/","hero","","","","../assests/about/modern-home-solar-panels.webp","temporary/relevance fallback","uncertain","1","review","No exact old-site image confirmed; retained current image"
"Will Trees Affect Solar Panels?","/will-trees-affect-solar-panels/","featured","","","residential-solar-panel.png","/assets/blog/will-trees-affect-solar-panels/featured.png","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"Why Solar Panels Are Not Worth It: Exploring the Truth Behind the Investment","/why-solar-panels-are-not-worth-it/","featured","","","Cost-Savings-on-Energy-Bills.png","/assets/blog/why-solar-panels-are-not-worth-it/featured.png","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"Why Should We Choose a Fronius Inverter?","/why-choose-fronius-inverter/","featured","","","fronius-inverter.webp","/assets/blog/why-choose-fronius-inverter/featured.webp","temporary/relevance fallback","medium/uncertain","1","review","Needs original confirmation"
"Why Are Solar Panels Good","/why-are-solar-panels-good/","featured","","","previous verified match","/assets/blog/why-are-solar-panels-good/featured.jpg","exact local upload","exact","1","review","Needs original confirmation"
