"Post title","Post slug","Blog URL","Image type","Original WordPress URL","Matched upload filename","New local image path","Match method","Match confidence","Replacement status","Notes"
"Solar Rebate NSW 2026 Update: What Has Changed This Year?","solar-rebate-nsw-2026-update","/solar-rebate-nsw-2026-update/","featured","","previous verified match","/assets/blog/solar-rebate-nsw-2026-update/featured.png","Previous exact/verified match","exact","Replaced","Preserved verified original"
"Solar Quotes Sydney NSW: How Homeowners in Sydney Are Cutting Electricity Bills with Smart Solar Deals","solar-quotes-sydney-nsw","/solar-quotes-sydney-nsw/","featured","","previous verified match","/assets/blog/solar-quotes-sydney-nsw/featured.jpg","Previous exact/verified match","exact","Replaced","Preserved verified original"
"Solar Battery Cost in Australia (2026): Complete Guide for Homeowners","solar-battery-cost-in-australia-2026","/solar-battery-cost-in-australia-2026/","featured","","previous verified match","/assets/blog/solar-battery-cost-in-australia-2026/featured.png","Previous exact/verified match","exact","Replaced","Preserved verified original"
"Fox ESS Battery Review: Is This Solar Battery Worth It in 2026?","fox-ess-battery-review","/fox-ess-battery-review/","featured","","previous verified match","/assets/blog/fox-ess-battery-review/featured.jpg","Previous exact/verified match","exact","Replaced","Preserved verified original"
"Best Solar Battery Storage 2026: Complete Guide to the Top Home Battery Systems","best-solar-battery-storage-2026","/best-solar-battery-storage-2026/","featured","","previous verified match","/assets/blog/best-solar-battery-storage-2026/featured.jpg","Previous exact/verified match","exact","Replaced","Preserved verified original"
"Determining the Ideal Solar System Size for Your Australian Home in 2026","determining-the-ideal-solar-system-size-for-your-australian-home-in-2026","/determining-the-ideal-solar-system-size-for-your-australian-home-in-2026/","featured","","5-kw-Solar-System.png","/assets/blog/determining-the-ideal-solar-system-size-for-your-australian-home-in-2026/featured.png","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"What Are Solar Panel Batteries and What Are They Used For?","what-are-solar-panel-batteries-and-what-are-they-used-for","/what-are-solar-panel-batteries-and-what-are-they-used-for/","featured","","Solar-Panel-Battery.webp","/assets/blog/what-are-solar-panel-batteries-and-what-are-they-used-for/featured.webp","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"Maximizing Your Savings: The Ultimate Guide to 2026 Solar Panel Rebates","maximizing-your-savings-the-ultimate-guide-to-2026-solar-panel-rebates","/maximizing-your-savings-the-ultimate-guide-to-2026-solar-panel-rebates/","featured","","Solar-Panel-Rebates.png","/assets/blog/maximizing-your-savings-the-ultimate-guide-to-2026-solar-panel-rebates/featured.png","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"How to Clean Solar Panels on Roof: Complete Homeowner Guide","how-to-clean-solar-panels-on-roof","/how-to-clean-solar-panels-on-roof/","featured","","cleaning-solar-panels.png","/assets/blog/how-to-clean-solar-panels-on-roof/featured.png","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"How Much Will a 6.6kW Solar System Save Me in Australia? (2025 Guide)","how-much-will-a-6-6kw-solar-system-save-me-2","/how-much-will-a-6-6kw-solar-system-save-me-2/","featured","","5-kw-Solar-System.png","/assets/blog/how-much-will-a-6-6kw-solar-system-save-me-2/featured.png","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"How Do Solar Panels Work With Your Electric Bill? A Complete Guide for Homeowners","how-do-solar-panels-work-with-your-electric-bill","/how-do-solar-panels-work-with-your-electric-bill/","featured","","solar-water-heater-solar-panel-installed-dollar-bills-roof-white-background-3d-rendering_476612-8227.jpg","/assets/blog/how-do-solar-panels-work-with-your-electric-bill/featured.jpg","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"What Are the Best Solar Panels in Australia? A Complete 2025 Guide","what-are-the-best-solar-panels-in-australia","/what-are-the-best-solar-panels-in-australia/","featured","","residential-solar-panel.png","/assets/blog/what-are-the-best-solar-panels-in-australia/featured.png","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"10kW Solar System With Battery Price in Australia (2025 Guide)","10kw-solar-system-with-battery-price","/10kw-solar-system-with-battery-price/","featured","","Solar-Panel-Battery.webp","/assets/blog/10kw-solar-system-with-battery-price/featured.webp","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"Australian Solar Battery Rebate: A Complete 2026 Guide","australian-solar-battery-rebate","/australian-solar-battery-rebate/","featured","","battery-rebate-in-2026.webp","/assets/blog/australian-solar-battery-rebate/featured.webp","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"How Much Do Commercial Solar Panels Cost in 2025? A Complete Pricing Breakdown","how-much-do-commercial-solar-panels-cost","/how-much-do-commercial-solar-panels-cost/","featured","","commercial-solar-systems-10kw-379365895-734o8.webp","/assets/blog/how-much-do-commercial-solar-panels-cost/featured.webp","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"How Much Do Solar Panels Cost in Adelaide? (2025 Updated Guide)","how-much-do-solar-panels-cost-adelaide","/how-much-do-solar-panels-cost-adelaide/","featured","","Cost-Savings-on-Energy-Bills.png","/assets/blog/how-much-do-solar-panels-cost-adelaide/featured.png","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"How Much Are Solar Batteries in Australia? | 2025 Cost Breakdown & Smart Buying Guide","how-much-are-solar-batteries","/how-much-are-solar-batteries/","featured","","Cost-Savings-on-Energy-Bills.png","/assets/blog/how-much-are-solar-batteries/featured.png","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"Best 10kW Solar Battery Price in Australia (2025 Guide)","best-10kw-solar-battery-price-australia","/best-10kw-solar-battery-price-australia/","featured","","Solar-Panel-Battery.webp","/assets/blog/best-10kw-solar-battery-price-australia/featured.webp","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"Solar Panel Rebate QLD 2025: Save Big on Solar Energy Rebates Queensland","solar-panel-rebate-qld","/solar-panel-rebate-qld/","featured","","Solar-Panel-Rebates.png","/assets/blog/solar-panel-rebate-qld/featured.png","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"Cost of Solar Panels for a 4-Bedroom House in Australia (2025 Guide)","cost-of-solar-panels-for-4-bedroom-house","/cost-of-solar-panels-for-4-bedroom-house/","featured","","Cost-Savings-on-Energy-Bills.png","/assets/blog/cost-of-solar-panels-for-4-bedroom-house/featured.png","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"Best Solar Panels Australia 2025: Expert Comparison, Prices & Buying Guide","best-solar-panels-in-australia","/best-solar-panels-in-australia/","featured","","Cost-Savings-on-Energy-Bills.png","/assets/blog/best-solar-panels-in-australia/featured.png","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"How Much Do Solar Panels Cost in Sydney (2025 Guide)","how-much-do-solar-panels-cost-sydney","/how-much-do-solar-panels-cost-sydney/","featured","","Cost-Savings-on-Energy-Bills.png","/assets/blog/how-much-do-solar-panels-cost-sydney/featured.png","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"How Much Will a 10kW Solar System Save Me in Australia?","how-much-will-a-10kw-solar-system-save-me","/how-much-will-a-10kw-solar-system-save-me/","featured","","5-kw-Solar-System.png","/assets/blog/how-much-will-a-10kw-solar-system-save-me/featured.png","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
"Cryptoslots Canada guide for secure crypto play","cryptoslots-canada-guide-for-secure-crypto-play","/cryptoslots-canada-guide-for-secure-crypto-play/","featured","","Latest-Advancement-and-Potential-Impacts-on-Solar-Technology.jpg","/assets/blog/cryptoslots-canada-guide-for-secure-crypto-play/featured.jpg","Topic-relevant local fallback","temporary","Replaced","Relevant local WordPress upload selected; original match not confirmed."
