live_url,live_content_type,local_path,local_route,match_level,local_status,local_title,comparison,action,redirect
https://esteemenergy.com.au/,Main page,index.html,/,Designed,Present,Esteem Energy | Solar Solutions for Australian Homes and Businesses,Same business purpose but current content/sections differ,Review content parity,None
https://esteemenergy.com.au/about-us-3,Main page,about/index.html,/about/,Designed,Present,About Esteem Energy | Australian Solar Solutions,Same purpose; slug differs,Preserve old URL or map with 301,Old to local only if URL change approved
https://esteemenergy.com.au/packages,Main page,pricing/index.html,/pricing/,Designed,Present,Solar System Pricing & Packages | Esteem Energy,Local /packages shell points to pricing,Confirm canonical and keep one route,Old to local only if URL change approved
https://esteemenergy.com.au/6-6-kw-solar-system,System-size page,6-6-kw-solar-system/index.html,/6-6-kw-solar-system/,Designed,Present,6.6kW Solar System Australia | Price, Output & Installation,Same purpose; content needs parity review,Keep live route,None
https://esteemenergy.com.au/13-3-kw-solar-system,System-size page,13-2-kw-solar-system/index.html,/13-2-kw-solar-system/,Incomplete,Present,13.2kW Solar System Australia | High-Capacity Solar,Capacity and slug mismatch,Do not merge until canonical decision,301 candidate after decision
https://esteemenergy.com.au/residential-solar-panel-system,Residential solar,residential-solar/index.html,/residential-solar/,Designed,Present,Residential Solar Systems Australia | Esteem Energy,Same purpose; slug differs,Keep live route preferred,301 candidate only if changed
https://esteemenergy.com.au/solar-panel-installation,Service,installation/index.html,/installation/,Designed,Present,Professional Solar Installation Australia | Esteem Energy,Same purpose; slug differs,Keep live route preferred,301 candidate only if changed
https://esteemenergy.com.au/contact-us,Form/quote,contact/index.html,/contact/,Incomplete,Present,Solaris Energy - Smart Solar Solutions for Homes,Contact route exists but title/H1 are placeholder/unrelated,Replace content in later stage,301 candidate only if changed
https://esteemenergy.com.au/our-gallery,Gallery,our-gallery/index.html,/our-gallery/,Designed,Present,Solar Project Gallery Australia | Esteem Energy,Same purpose; slug differs,Keep live route preferred,301 candidate only if changed
https://esteemenergy.com.au/reviews,Review,reviews/index.html,/reviews/,Designed,Present,Esteem Energy Reviews | Australian Solar Customer Feedback,Same purpose,Retain and compare review records,None
https://esteemenergy.com.au/blogs/,Blog archive,blogs/index.html,/blogs/,Designed,Present,Solar Blog and Energy Guides | Esteem Energy,Template exists but live corpus much larger,Import posts and preserve URLs,Per-post only
https://esteemenergy.com.au/blog/solar-panel-cleaning-guide/,Blog post,None,None,Missing,None,None,No local equivalent,Import later,301 only if intentional new route
https://esteemenergy.com.au/blog/best-solar-panels/,Blog post,None,None,Missing,None,None,No local equivalent,Import later,301 only if intentional new route
https://esteemenergy.com.au/blog/solar-panel-maintenance-tips/,Blog post,None,None,Missing,None,None,No local equivalent,Import later,301 only if intentional new route
https://esteemenergy.com.au/how-to-clean-solar-panels-on-roof/,Blog post,None,None,Missing,None,None,No local equivalent,Import later,301 only if intentional new route
https://esteemenergy.com.au/fox-ess-battery-review/,Blog post,None,None,Missing,None,None,No local equivalent,Import later,301 only if intentional new route
