"page title","old URL","new URL","old image URL","local source","new image path","image type","match confidence","status"
"Products","https://esteemenergy.com.au/products/","/products/","https://esteemenergy.com.au/wp-content/uploads/2023/10/Solar-Batteries.png","C:\Users\admin\Desktop\vscode\vscode\solar\migration\uploads\2023\10\Solar-Batteries.png","/assets/site-images/product/Solar-Batteries.png","product","exact","Replaced"
"Products","https://esteemenergy.com.au/products/","/products/","https://esteemenergy.com.au/wp-content/uploads/2024/01/ht-panels-415w.webp","C:\Users\admin\Desktop\vscode\vscode\solar\migration\uploads\2024\01\ht-panels-415w.webp","/assets/site-images/product/ht-panels-415w.webp","product","exact","Replaced"
"Products","https://esteemenergy.com.au/products/","/products/","https://esteemenergy.com.au/wp-content/uploads/2023/07/Trina-solar.webp","C:\Users\admin\Desktop\vscode\vscode\solar\migration\uploads\2023\07\Trina-solar.webp","/assets/site-images/product/Trina-solar.webp","product","exact","Replaced"
"Products","https://esteemenergy.com.au/products/","/products/","https://esteemenergy.com.au/wp-content/uploads/2023/07/Jinko.webp","C:\Users\admin\Desktop\vscode\vscode\solar\migration\uploads\2023\07\Jinko.webp","/assets/site-images/product/Jinko.webp","product","exact","Replaced"
"Products","https://esteemenergy.com.au/products/","/products/","https://esteemenergy.com.au/wp-content/uploads/2024/09/inverter-brand-4.jpg","C:\Users\admin\Desktop\vscode\vscode\solar\migration\uploads\2024\09\inverter-brand-4.jpg","/assets/site-images/product/inverter-brand-4.jpg","product","exact","Replaced"
"Products","https://esteemenergy.com.au/products/","/products/","https://esteemenergy.com.au/wp-content/uploads/2024/01/fronius-inverter.webp","C:\Users\admin\Desktop\vscode\vscode\solar\migration\uploads\2024\01\fronius-inverter.webp","/assets/site-images/product/fronius-inverter.webp","product","exact","Replaced"
"Battery Storage","https://esteemenergy.com.au/battery-storage/","/battery-storage/","https://esteemenergy.com.au/wp-content/uploads/2023/10/Solar-Batteries.png","C:\Users\admin\Desktop\vscode\vscode\solar\migration\uploads\2023\10\Solar-Batteries.png","/assets/site-images/product/Solar-Batteries.png","hero","exact","Replaced"
"Installation","https://esteemenergy.com.au/installation/","/installation/","https://esteemenergy.com.au/wp-content/uploads/2025/01/The-Solar-Installation-Process_-What-to-Expect-from-Start-to-Finish-1.png","C:\Users\admin\Desktop\vscode\vscode\solar\migration\uploads\2025\01\The-Solar-Installation-Process_-What-to-Expect-from-Start-to-Finish-1.png","/assets/site-images/installation/The-Solar-Installation-Process_-What-to-Expect-from-Start-to-Finish-1.png","hero","exact","Replaced"
"Our Gallery","https://esteemenergy.com.au/our-gallery/","/our-gallery/","https://esteemenergy.com.au/wp-content/uploads/2023/08/Best-Solar-Installation-cabramatta-new-south-wales.jpg","C:\Users\admin\Desktop\vscode\vscode\solar\migration\uploads\2023\08\Best-Solar-Installation-cabramatta-new-south-wales.jpg","/assets/site-images/gallery/Best-Solar-Installation-cabramatta-new-south-wales.jpg","gallery","exact","Replaced"
"Our Gallery","https://esteemenergy.com.au/our-gallery/","/our-gallery/","https://esteemenergy.com.au/wp-content/uploads/2023/08/Best-Solar-Installation-Ashby-Western-Australia.jpg","C:\Users\admin\Desktop\vscode\vscode\solar\migration\uploads\2023\08\Best-Solar-Installation-Ashby-Western-Australia.jpg","/assets/site-images/gallery/Best-Solar-Installation-Ashby-Western-Australia.jpg","gallery","exact","Replaced"
